"Year","Jan","Feb","Mar","Apr","May","Jun","Jul","Aug","Sep","Oct","Nov","Dec"
2006,22,27,30,22,15,19,33,111,71,36,33,24
2007,22,10,17,16,17,44,57,88,51,51,44,26
2008,21,13,21,17,28,26,55,62,24,32,20,34
2009,20,11,26,16,20,34,33,100,66,42,34,34
2010,21,15,19,35,26,36,65,129,71,51,24,29
2011,17,22,42,5,33,39,44,89,54,68,22,35
2012,23,14,16,18,28,22,81,70,58,28,43,48
2013,19,24,32,12,21,29,43,88,35,43,24,30
2014,22,19,19,20,29,21,59,60,37,22,23,24
2015,16,26,26,26,30,25,41,93,67,42,48,26
2016,9,11,18,10,21,22,42,83,70,57,22,33
2017,9,19,13,15,17,23,55,100,62,18,46,34
2018,24,14,35,15,20,28,74,40,57,30,26,28
2019,47,49,16,15,14,22,69,40,44,46,23,21
2020,32,16,31,22,24,35,50,54,73,34,22,32
2021,21,10,19,10,17,32,69,66,53,37,51,19
2022,19,16,29,14,17,37,51,75,43,31,21,47
2023,42,14,18,27,23,29,60,46,66,49,24,24
2024,27,43,15,23,18,17,70,45,36,34,26,57
2025,31,19,13,18,23,29,57,100,50,54,18,33
2026,17,10,18,21,19,32,66,79,54,37,46,49
2027,32,21,16,12,31,58,41,51,56,46,33,34
2028,22,12,29,14,18,48,58,58,50,51,48,31
2029,15,11,10,12,17,36,98,79,67,27,32,23
2030,27,18,14,22,21,17,70,68,68,81,15,39
2031,15,15,39,21,11,20,78,73,99,76,28,26
2032,12,24,24,21,22,34,82,55,88,22,25,22
2033,40,14,38,17,32,18,32,58,35,56,54,21
2034,15,17,16,19,14,39,78,52,72,32,21,22
2035,36,18,24,18,10,25,73,52,81,56,30,23
2036,20,29,25,29,25,23,75,86,94,57,25,40
2037,14,18,22,15,24,30,66,114,57,33,34,32
2038,37,27,39,26,31,26,29,66,80,46,31,15
2039,19,13,17,9,9,33,36,54,40,37,23,22
2040,12,19,27,15,21,40,34,78,45,29,24,56
2041,39,18,28,15,14,39,81,88,50,23,22,16
2042,22,11,23,22,21,42,23,71,58,31,33,28
2043,15,15,19,12,25,33,77,94,60,45,27,63
2044,34,21,13,23,19,30,44,80,44,58,30,36
2045,22,33,27,23,12,27,49,53,51,30,27,36
2046,33,25,21,28,13,27,40,72,25,64,19,35
2047,20,30,15,19,19,33,73,145,52,38,26,29
2048,14,15,16,6,25,18,50,129,77,41,30,52
2049,29,19,19,32,24,19,89,84,86,40,37,35
2050,15,14,13,11,18,30,40,59,36,51,44,60
2051,37,14,19,19,18,38,41,70,73,43,27,16
2052,19,25,22,6,36,37,57,101,70,35,39,66
2053,16,14,26,14,25,28,52,87,58,37,33,36
2054,22,24,11,12,34,26,49,73,72,32,27,37
2055,13,12,12,15,20,44,70,76,52,58,47,34
2056,34,20,24,14,22,37,63,79,54,22,34,50
2057,11,20,14,12,29,29,54,86,60,71,35,35
2058,26,18,25,41,22,39,92,98,57,38,37,18
2059,17,33,32,27,21,42,44,106,32,45,25,60
2060,39,27,13,30,13,42,60,85,70,54,31,37
2061,32,30,32,17,18,31,74,78,54,40,38,28
2062,21,12,28,16,18,32,47,140,89,28,29,49
2063,27,28,21,31,44,27,70,88,46,43,44,21
2064,24,26,22,26,35,49,48,149,58,57,46,49
2065,28,13,14,24,28,51,70,54,77,37,21,69
2066,24,33,20,15,17,35,45,77,85,47,36,34
2067,22,21,22,15,24,29,32,58,42,30,42,37
2068,29,14,22,48,33,36,47,81,73,49,41,16
2069,15,23,21,21,46,31,60,84,74,26,30,30
2070,26,26,15,13,28,41,66,73,73,57,28,42
2071,35,14,18,28,31,32,67,83,84,64,18,26
2072,31,17,29,14,20,33,51,61,92,49,45,35
2073,18,29,26,26,31,34,42,61,46,51,58,21
2074,24,29,12,19,36,23,60,87,75,51,30,58
2075,20,23,22,16,32,36,97,131,59,62,51,22
2076,24,11,22,22,20,53,56,83,71,46,61,39
2077,30,9,28,15,21,33,35,49,53,60,41,37
2078,24,20,15,6,24,37,74,53,43,32,32,32
2079,34,22,20,18,21,30,58,84,58,42,38,19
2080,29,23,15,11,24,38,42,93,73,56,42,44
2081,19,23,36,20,25,53,35,87,69,48,31,32
2082,41,39,31,26,30,69,64,94,71,45,24,18
2083,12,15,18,12,9,30,59,80,32,32,12,47
2084,38,23,13,16,23,38,58,67,23,37,38,32
2085,32,21,12,29,40,46,53,67,57,47,43,41
2086,21,32,11,25,27,27,48,145,80,39,47,27
2087,27,20,22,11,27,33,45,49,77,28,51,50
2088,69,26,30,12,27,40,38,66,64,30,32,19
2089,31,24,10,21,21,34,64,92,67,53,50,55
2090,34,23,14,9,21,34,44,84,44,62,42,36
2091,35,14,19,12,22,20,78,91,53,50,51,37
2092,12,21,26,22,20,22,67,56,79,35,31,45
2093,34,14,20,17,28,54,38,92,60,66,53,44
2094,28,24,38,10,38,45,58,115,96,48,32,60
2095,33,23,15,7,33,41,82,65,59,31,26,43
2096,20,8,15,13,48,36,52,103,58,33,52,28
2097,46,30,25,42,19,38,75,60,85,15,47,31
2098,30,12,11,18,15,33,62,82,70,39,34,18
2099,20,19,22,21,23,32,94,135,65,28,29,37
2100,9,25,32,16,37,41,77,111,70,42,30,32
